Elasticity,optimum_price_profit,optimum_price_revenue,Description
15.766917293233078,4.287222222222223,3.0972222222222223,ADVENT CALENDAR GINGHAM SACK
14.321102819237135,5.686951219512194,4.096951219512194,ASSORTED COLOUR MINI CASES
31.267250000000057,4.202815126050421,3.0128151260504206,BLACK/BLUE POLKADOT UMBRELLA
12.57142857142857,6.186111111111111,4.486111111111111,BLUE DINER WALL CLOCK
0.8715517241379311,1.6816666666666664,1.3916666666666666,BLUE STRIPE CERAMIC DRAWER KNOB
8.352261904761905,12.276764705882352,8.886764705882351,BREAD BIN DINER STYLE IVORY
5.5981323203545434,12.612787610619467,9.222787610619466,BREAD BIN DINER STYLE MINT
7.7760000000000025,12.531666666666666,9.141666666666666,BREAD BIN DINER STYLE RED 
0.8495586809595173,31.28867925893761,25.298679258937607,CABIN BAG VINTAGE RETROSPOT
13.239999999999997,9.225,6.675000000000001,CAKE STAND 3 TIER MAGIC GARDEN
10.256429118773948,7.277086092715231,5.287086092715231,CHILDS BREAKFAST SET SPACEBOY 
21.714050880626242,7.0986619718309845,5.108661971830985,COOKING SET RETROSPOT
5.327351809161214,5.974433399602385,4.384433399602385,DOORMAT AIRMAIL 
7.214522021743989,6.079596905537459,4.429596905537459,DOORMAT FAIRY CAKE
8.289074712175259,5.800923293106299,4.150923293106299,DOORMAT RED RETROSPOT
8.39001661430146,5.910550082101806,4.260550082101806,DOORMAT WELCOME TO OUR HOME
34.021052631578954,4.209554455445545,3.019554455445545,EDWARDIAN PARASOL PINK
26.941868279569828,4.25468058968059,3.06468058968059,EDWARDIAN PARASOL RED
1.4648234654625025,1.7882260201377846,1.3682260201377847,ENAMEL BLUE RIM COFFEE CONTAINER
0.8768631524279409,1.8540873015873016,1.4340873015873015,ENAMEL PINK COFFEE CONTAINER
2.127496395869568,3.0483448226339225,2.2983448226339225,FAWN BLUE HOT WATER BOTTLE
5.586206896551731,3.2375,2.3874999999999997,HOT WATER BOTTLE TEA AND SYMPATHY
10.571497584541053,3.079430379746835,2.229430379746835,JAM MAKING SET WITH JARS
0.7523899371069193,2.1392857142857133,1.809285714285713,JIGSAW TOADSTOOLS 3 PIECE
3.4494907266646346,1.7055907473309613,1.2895907473309611,JUMBO BAG OWLS
5.173469387755098,1.6076666666666666,1.1916666666666667,JUMBO BAG TOYS 
5.848816029143893,1.5910000000000002,1.1750000000000003,JUMBO SHOPPER VINTAGE RED PAISLEY
0.8033885909312528,2.657666666666666,2.2416666666666663,JUMBO STORAGE BAG SUKI
0.7173791301101361,2.731896955503513,2.2218969555035133,MAGIC SHEEP WOOL GROWING FROM PAPER
0.10786185352308243,5.37045454545454,5.12045454545454,MAGNETS PACK OF 4 SWALLOWS
4.609673861666931,2.4671768292682925,1.8091768292682924,METAL 4 HOOK HANGER FRENCH CHATEAU
3.8013439178647452,1.6422886200716846,1.2262886200716847,RABBIT NIGHT LIGHT
57.63194508009143,7.738804573804573,5.548804573804573,RED RETROSPOT CAKE STAND
9.251182219419926,5.931355140186915,4.341355140186915,RED RETROSPOT MINI CASES
39.11162935323377,7.052755102040816,5.062755102040816,RED RETROSPOT ROUND CAKE TINS
14.915370705244124,4.297768361581921,3.107768361581921,RED RETROSPOT UMBRELLA
53.64571948998156,7.00680602006689,5.016806020066889,RED SPOTTY ROUND CAKE TINS
14.291208791208788,5.68264705882353,4.0926470588235295,RED/WHITE DOT MINI CASES
8.269517167987487,9.26354634433448,6.713546344334481,REGENCY CAKESTAND 3 TIER
22.784482758620697,7.0992592592592585,5.109259259259258,RETRO SPOT LAMP
5.9371196754563895,7.6899999999999995,5.699999999999999,ROSE COTTAGE KEEPSAKE BOX 
47.187354651162835,4.759389140271494,3.4093891402714935,SET 10 LIGHTS NIGHT OWL
21.985994397759097,9.097340425531916,6.547340425531916,SET OF 16 VINTAGE ROSE CUTLERY
12.132041635803684,2.3093596059113297,1.65935960591133,SET OF 2 TEA TOWELS APPLE AND PEARS
0.5039062499999999,2.2150000000000003,1.925,SET OF 3 BUTTERFLY COOKIE CUTTERS
0.5283333333333332,0.7850000000000003,0.6550000000000004,SET/6 FRUIT SALAD PAPER CUPS
15.187874999999996,12.132326732673267,8.742326732673266,SEWING BOX RETROSPOT DESIGN 
0.6068550289715584,14.083181818181798,12.093181818181797,TABLECLOTH RED APPLES DESIGN 
1.2989130434782605,1.5650000000000002,1.175,VICTORIAN GLASS HANGING T-LIGHT
2.5341333333333345,1.7641176470588236,1.3441176470588236,WALL TIDY RETROSPOT 
