StockCode,Week,Forecast_Units,Overall_Source,Overall_Model,Forecast_Revenue,Forecast_GrossProfit
10002,2011-12-12,0.0,Statistical,Naive,0.0,0.0
10002,2011-12-19,0.0,Statistical,Naive,0.0,0.0
10002,2011-12-26,0.0,Statistical,Naive,0.0,0.0
10002,2012-01-02,0.0,Statistical,Naive,0.0,0.0
10002,2012-01-09,0.0,Statistical,Naive,0.0,0.0
10002,2012-01-16,0.0,Statistical,Naive,0.0,0.0
10002,2012-01-23,0.0,Statistical,Naive,0.0,0.0
10002,2012-01-30,0.0,Statistical,Naive,0.0,0.0
10002,2012-02-06,0.0,Statistical,Naive,0.0,0.0
10002,2012-02-13,0.0,Statistical,Naive,0.0,0.0
10002,2012-02-20,0.0,Statistical,Naive,0.0,0.0
10002,2012-02-27,0.0,Statistical,Naive,0.0,0.0
10120,2011-12-12,0.0,Statistical,Naive,0.0,0.0
10120,2011-12-19,0.0,Statistical,Naive,0.0,0.0
10120,2011-12-26,0.0,Statistical,Naive,0.0,0.0
10120,2012-01-02,0.0,Statistical,Naive,0.0,0.0
10120,2012-01-09,0.0,Statistical,Naive,0.0,0.0
10120,2012-01-16,0.0,Statistical,Naive,0.0,0.0
10120,2012-01-23,0.0,Statistical,Naive,0.0,0.0
10120,2012-01-30,0.0,Statistical,Naive,0.0,0.0
10120,2012-02-06,0.0,Statistical,Naive,0.0,0.0
10120,2012-02-13,0.0,Statistical,Naive,0.0,0.0
10120,2012-02-20,0.0,Statistical,Naive,0.0,0.0
10120,2012-02-27,0.0,Statistical,Naive,0.0,0.0
10123C,2011-12-12,0.0,Statistical,Naive,0.0,0.0
10123C,2011-12-19,0.0,Statistical,Naive,0.0,0.0
10123C,2011-12-26,0.0,Statistical,Naive,0.0,0.0
10123C,2012-01-02,0.0,Statistical,Naive,0.0,0.0
10123C,2012-01-09,0.0,Statistical,Naive,0.0,0.0
10123C,2012-01-16,0.0,Statistical,Naive,0.0,0.0
10123C,2012-01-23,0.0,Statistical,Naive,0.0,0.0
10123C,2012-01-30,0.0,Statistical,Naive,0.0,0.0
10123C,2012-02-06,0.0,Statistical,Naive,0.0,0.0
10123C,2012-02-13,0.0,Statistical,Naive,0.0,0.0
10123C,2012-02-20,0.0,Statistical,Naive,0.0,0.0
10123C,2012-02-27,0.0,Statistical,Naive,0.0,0.0
10125,2011-12-12,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2011-12-19,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2011-12-26,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2012-01-02,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2012-01-09,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2012-01-16,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2012-01-23,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2012-01-30,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2012-02-06,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2012-02-13,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2012-02-20,20.0,Statistical,Naive,16.4625,5.581750000000001
10125,2012-02-27,20.0,Statistical,Naive,16.4625,5.581750000000001
10133,2011-12-12,0.0,Statistical,Naive,0.0,0.0
10133,2011-12-19,0.0,Statistical,Naive,0.0,0.0
10133,2011-12-26,0.0,Statistical,Naive,0.0,0.0
10133,2012-01-02,0.0,Statistical,Naive,0.0,0.0
10133,2012-01-09,0.0,Statistical,Naive,0.0,0.0
10133,2012-01-16,0.0,Statistical,Naive,0.0,0.0
10133,2012-01-23,0.0,Statistical,Naive,0.0,0.0
10133,2012-01-30,0.0,Statistical,Naive,0.0,0.0
10133,2012-02-06,0.0,Statistical,Naive,0.0,0.0
10133,2012-02-13,0.0,Statistical,Naive,0.0,0.0
10133,2012-02-20,0.0,Statistical,Naive,0.0,0.0
10133,2012-02-27,0.0,Statistical,Naive,0.0,0.0
10134,2011-12-12,0.0,Statistical,Naive,0.0,0.0
10134,2011-12-19,0.0,Statistical,Naive,0.0,0.0
10134,2011-12-26,0.0,Statistical,Naive,0.0,0.0
10134,2012-01-02,0.0,Statistical,Naive,0.0,0.0
10134,2012-01-09,0.0,Statistical,Naive,0.0,0.0
10134,2012-01-16,0.0,Statistical,Naive,0.0,0.0
10134,2012-01-23,0.0,Statistical,Naive,0.0,0.0
10134,2012-01-30,0.0,Statistical,Naive,0.0,0.0
10134,2012-02-06,0.0,Statistical,Naive,0.0,0.0
10134,2012-02-13,0.0,Statistical,Naive,0.0,0.0
10134,2012-02-20,0.0,Statistical,Naive,0.0,0.0
10134,2012-02-27,0.0,Statistical,Naive,0.0,0.0
10135,2011-12-12,4.634451772038963,ML,Ridge,5.706168744322973,2.653571223375209
10135,2011-12-19,6.769235492166192,ML,Ridge,8.334621199729623,3.8758950119270574
10135,2011-12-26,7.064809315542053,ML,Ridge,8.698546469761153,4.045133193846491
10135,2012-01-02,11.154282096390645,ML,Ridge,13.733709831180981,6.386663071340873
10135,2012-01-09,10.841733538599009,ML,Ridge,13.34888441940003,6.207705580863327
10135,2012-01-16,12.626275338164081,ML,Ridge,15.546101510114525,7.2294896017492984
